"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HBD",2561.20696773186,-4.50344434180425,0.533537961787943,-8.44071961948634,3.15389861044356e-17,4.1374644199576e-14
"OR6C74",784.725175833915,8.64344559240958,1.03011669564747,8.39074410591592,4.83074778430304e-17,6.04919412317111e-14
"GALR1",1154.72400616365,7.6380599985198,0.912876566391683,8.36702384497684,5.9091743102519e-17,7.07790622057085e-14
"IL11",1608.32075304861,8.99440821622271,1.0808688126415,8.32146150488104,8.68852368888188e-17,9.97333912937528e-14
"LOC105371497",1432.22480284155,7.34181880375338,0.885574495099392,8.29045872976432,1.12812532379768e-16,1.24314898181209e-13
"ADH1B",1275.80385760412,7.89005476379515,0.953717950243261,8.27294354875325,1.30691587464044e-16,1.38477790117191e-13
"LOC105373878",1330.28918720562,8.68392182904012,1.05093121959413,8.26307342205883,1.41968855055407e-16,1.448555551082e-13
"MBD3L1",531.516563504303,8.40801972835724,1.01811858213915,8.25838942129046,1.47651162034651e-16,1.45272923674736e-13
"LOC105372047",3229.29081929234,7.68150677901982,0.931161285839935,8.24938374890755,1.59213402228563e-16,1.47588809159157e-13
"UBXN6",584.304315163973,-2.80264281919423,0.339786012431098,-8.24825836455687,1.60719600521787e-16,1.47588809159157e-13
"FAM46C",3673.25095896237,-3.29172462458506,0.400114287005049,-8.22696097463654,1.92022985795546e-16,1.70646491473596e-13
"IGF2BP2",358.802850154128,-2.68097783841796,0.327087990907515,-8.19650342704271,2.47480230480339e-16,2.13057277171964e-13
"LINC00840",1402.10676826776,6.75527075673584,0.82764410576946,8.16204780490217,3.2939177650204e-16,2.74982243965294e-13
"MYMX",1195.20198445256,6.73015589851835,0.825569337349818,8.15213888650831,3.57543326768722e-16,2.89704738504456e-13
"LOC107984812",521.029549077191,8.34234165215314,1.03506728386753,8.05970953016889,7.6475951563379e-16,6.01953139891294e-13
"MKRN1",2454.43971955334,-2.75397560955408,0.342704307816951,-8.03601106474874,9.28103675556099e-16,7.10231337719305e-13
"ADCY3",510.890189838552,3.34373301131031,0.416844017060045,8.02154492918788,1.04423372810212e-15,7.77502566905007e-13
"LOC105373699",1985.23693429646,6.90034356022385,0.862782613652567,7.99777771484225,1.2668480655747e-15,9.18431509434669e-13
"STRADB",618.906356646494,-3.94742743592231,0.495087288534386,-7.97319488368999,1.54624054850376e-15,1.09224053514693e-12
"LOC105376775",2171.68087672162,6.99741803696891,0.878587380904289,7.9643962445338,1.66032424285675e-15,1.13790238797507e-12
"LOC105374220",1284.89507310463,6.67324868194712,0.838142518941104,7.96194982492715,1.69349152081664e-15,1.13790238797507e-12
"LINC01428",3627.73686010977,6.32219659075038,0.795629796345711,7.94615362545235,1.92391809620963e-15,1.26195284839236e-12
"LOC105374076",1046.55576261673,7.0595733119276,0.890210595206106,7.93022836387735,2.18743269438114e-15,1.40143216970944e-12
"TDRD9",171.81065262922,3.32162871009366,0.424043251846685,7.83323091601658,4.75489852374138e-15,2.9771068052398e-12
"LOC105373920",846.964969146696,7.15837155671438,0.917561705826004,7.80151515834054,6.11682578451906e-15,3.74472074528257e-12
"OR2W3",29.0272658961741,-4.79940785208335,0.616647041387264,-7.78307123842866,7.07847475271724e-15,4.23923697744799e-12
"ASCC2",648.997850472238,-2.32214163177629,0.299052455955464,-7.76499769699973,8.16467075531559e-15,4.78571307740828e-12
"PAGE2B",213.125042189793,-3.44257083141024,0.445354520897078,-7.72995595615796,1.07583799031653e-14,6.17463766567293e-12
"CRMP1",2922.75926789599,5.57400024366125,0.723139011087206,7.70806187773082,1.27742812565951e-14,7.18201376199875e-12
"LOC105370747",513.338398459892,8.08871130520692,1.05073171423739,7.69816994729012,1.38028718788683e-14,7.45630744368841e-12
"LOC105376709",513.42228808321,8.08871130094894,1.05073246432664,7.69816444772419,1.38034658110316e-14,7.45630744368841e-12
"LINC00433",686.90358738782,7.96382127809995,1.03661299372149,7.68254047203236,1.55964246069694e-14,8.26280579802694e-12
"LINC01121",1472.62588293815,6.46881368192297,0.842712453079962,7.67618142852954,1.6390095107851e-14,8.50674045650832e-12
"ADIPOR1",2115.55655023164,-2.55470379418936,0.332904813677069,-7.67397673218245,1.66744340865893e-14,8.50674045650832e-12
"ZDHHC19",77.4976206597315,5.10015802957794,0.666712011270523,7.64971673430451,2.0142251876139e-14,1.00890708533773e-11
"LINC00887",1412.94477178213,6.52182057081206,0.853488036158234,7.64137315874798,2.14917185998261e-14,1.05727742090466e-11
"SNCA",1927.53660391394,-3.79369830925011,0.497457502238357,-7.62617568773214,2.41820218947824e-14,1.16875530031467e-11
"LINC01850",1014.21625389639,7.19478137109239,0.953874980718225,7.54268800055437,4.60381709227734e-14,2.18673374267497e-11
"SLC6A8",119.429522540041,-3.26143862359769,0.434118727563275,-7.51278029838581,5.78846277522399e-14,2.70281967787535e-11
"TAGLN3",810.424225972581,6.47418962522517,0.863685827323225,7.49600076834684,6.57944052733858e-14,3.02095011812751e-11
