"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC107986490",20.6967069437117,-1.56280974012323,0.516345420593588,-3.02667493075978,0.00247259705336232,0.00791215161241463
"ZFAND6",1266.86427487545,-0.965070131209992,0.318886165885419,-3.02637817018615,0.0024750253811354,0.00791821930334696
"LOC105376413",9.67476362985964,1.53884956046407,0.50848158183771,3.02636243952533,0.00247515416261888,0.00791821930334696
"LINC00486",168.975675568424,0.890379721438913,0.294211953376289,3.02632068894951,0.00247549598988462,0.00791821930334696
"PLEKHA5",134.233274385387,1.36370913526421,0.450617253042646,3.02631363103878,0.00247555377985436,0.00791821930334696
"MUC13",3.03473307564216,2.50267729957542,0.827045711206308,3.02604471030395,0.00247775661482883,0.00792441650266255
"LOC101927770",300.160756873946,-1.0776431083207,0.356148827686475,-3.02582242182577,0.00247957882051102,0.00792939516806527
"ALKAL1",3.4950585477044,2.33934628380493,0.773212971867039,3.02548763267154,0.00248232556244166,0.00793732900667241
"MLANA",82.5832475133027,-0.972781698531235,0.321603788242294,-3.02478308432843,0.00248811505007928,0.00795498939841747
"TRAJ6",2.40244010437455,-2.33725600890611,0.772725280937327,-3.02469204329769,0.00248886406249244,0.00795653235135266
"LOC107986415",2.1190083327938,-2.93728077787665,0.971163837144033,-3.02449562631421,0.00249048072621277,0.00796076607575186
"LOC105372045",2.64108190608606,4.83496858548325,1.598618723614,3.02446638092217,0.00249072152057008,0.00796076607575186
"TULP4",483.411908643514,-0.605871768222592,0.200329477989416,-3.02437651364819,0.00249146158350666,0.00796227931422432
"SNORD30",4.96751136977457,-1.71783809639274,0.56805648589209,-3.02406211187784,0.00249405228619326,0.00796970591987606
"LINC01632",2.4570016427279,-2.81486362254822,0.930922380193462,-3.02373611639162,0.0024967411246301,0.00797744449417758
"SNHG21",10.590351060471,-1.24880967533066,0.413015004228381,-3.02364239203309,0.00249751466177811,0.00797906240629046
"LOC105378474",3.83714731427803,3.20110016231461,1.0588993592661,3.02304476275555,0.00250245224605836,0.00799398185137801
"CYP4X1",11.0267499170352,1.02462454061493,0.338945459711086,3.02297762444823,0.00250300749711715,0.00799467251209457
"CASZ1",186.821393468204,1.05448222476279,0.348825110867546,3.02295388694992,0.00250320383929671,0.00799467251209457
"NTRK1",34.4166430248875,1.18522716251118,0.392083475610078,3.02289496048508,0.00250369130415373,0.00799537433688529
"MON2",993.878321824184,-0.788844341319681,0.260962663348798,-3.02282453434852,0.00250427401311562,0.0079958003126535
"WRN",302.506188171785,-0.81199742185174,0.268623007735818,-3.02281412413605,0.00250436015819725,0.0079958003126535
"LOC105373794",7.65764659374253,1.83570130811623,0.607335176667433,3.02255060902133,0.00250654166330288,0.00800190986366012
"LOC100144595",2.62690986427604,2.40509923760621,0.79576449598101,3.02237565228546,0.00250799099954769,0.00800568097493498
"MUC1",13.7761301487566,2.04026649191871,0.675156464769621,3.02191654584082,0.00251179786938112,0.0080169758864024
"LOC107984408",14.8208541179105,-2.18844432101095,0.724214306928203,-3.02181868001664,0.00251261004727238,0.00801871116283284
"IGKV2-24",36.1631511546569,-2.20076644671187,0.728350540126157,-3.0215759108666,0.00251462579939312,0.00802428672923129
"SMTNL1",103.927088536542,1.41236336816165,0.467524102997179,3.02094236234527,0.00251989322628402,0.00804023623963377
"ZNF568",61.6085746162775,1.35990654766288,0.450181789144953,3.02079422236471,0.00252112634151582,0.00804331141858455
"LOC105372091",3.71266984871607,2.32035719510293,0.768160484739766,3.02066721889373,0.00252218395614896,0.00804582608955231
"SRMS",2.00937099502966,4.71664905233694,1.56149726799325,3.02059385502385,0.00252279507477211,0.00804691604272872
"LOC107984034",22.1649106441155,1.18356123825075,0.391900403609079,3.02005618608995,0.00252727797467392,0.00806035419838069
"PHF8",295.219968131342,-0.608019559913394,0.201331006815342,-3.01999959932184,0.00252775019934486,0.00806099943442971
"ULBP2",1.15197290826238,2.99071618343856,0.990457394731349,3.01953036985479,0.00253166909682165,0.00807263480424712
"LOC105379829",6.03481211175188,2.10787830078353,0.698113307978644,3.01939280728912,0.00253281904093943,0.00807543937841958
"RNF43",157.466990535989,-1.17660712869684,0.389707866397552,-3.01920292134045,0.00253440716341355,0.0080796402578294
"LOC107984265",6.04341979035318,2.41731217817417,0.800671371433953,3.01910654535445,0.00253521355812589,0.00808134837372502
"GPR108",69.419742498679,0.822266701903053,0.272358853950154,3.01905625602882,0.00253563443086929,0.00808182735089768
"RNA28SN2",21700416.3292662,0.759177424114666,0.251472067206121,3.01893340500677,0.00253666284319074,0.00808373331768732
"CAPG",146.214414196261,1.05225130608508,0.34855221452288,3.01892015669868,0.00253677377041238,0.00808373331768732
"TMEM213",2.54642325717311,3.89634062467761,1.29066133702506,3.01887142111079,0.0025371818684997,0.00808417118347845
"LOC105374897",18.693868925994,-1.37803447396852,0.456482127203157,-3.01881364427489,0.00253766575324133,0.00808485040756907
"LZTS1-AS1",7.60593062163816,3.02356036626066,1.0015837946718,3.01877923978536,0.00253795393316303,0.00808490604948414
"LINC00269",1.84642817923208,3.62448965447845,1.20070890823739,3.01862477209327,0.00253924815901258,0.00808816619762273
"ZBTB11",309.622378432651,-0.608524239467228,0.201614635865355,-3.01825428920557,0.0025423547542586,0.00809719790294692
"NDUFB7",56.2620831813168,1.43020516912818,0.473906473606561,3.01790595567079,0.00254527879165031,0.00810564631186144
"LCOR",1287.67042676873,-0.647371167088072,0.214515621173538,-3.01782762274624,0.0025459367699533,0.00810687724007412
"PAK1",726.047795750114,-0.86475217249736,0.286642752628416,-3.01682901300618,0.00255433850255682,0.00813276326000634
"VOPP1",1373.49225036687,-0.553270646291807,0.18341165963061,-3.01655111461339,0.00255668108693773,0.00813861257448644
"KCNIP4",1132.91098908373,1.14194320945462,0.378559800069435,3.0165464194697,0.00255672068219761,0.00813861257448644
"CREM",274.02257607756,0.733100551468485,0.243048870497986,3.01626808619363,0.00255906893496051,0.00814521941197863
"LOC102724475",3.84523369196602,3.33185714993556,1.1047436842858,3.01595491997725,0.00256171342560354,0.00815276763167621
"WNT9A",5.3728119770798,1.8132909460994,0.60124454817559,3.0158958640068,0.00256221239591031,0.00815348675587228
"LINC00359",5.06651686186056,2.44237271386324,0.810006089282835,3.01525228782622,0.00256765580583088,0.00816993827414651
"TBXA2R",11.0696036735262,1.33286820369241,0.442047155629225,3.01521723806854,0.00256795256243519,0.00817001206744721
"LOC105369606",4.13221499221802,2.39000304624712,0.792656976058341,3.01517947666584,0.00256827231288526,0.0081701589927906
"LOC105375799",3.52462801542191,4.67842403608072,1.55165224210651,3.01512407814351,0.00256874147422987,0.00817078114047025
"LOC105372510",2.20417501826557,5.19988929889502,1.72463667304461,3.01506362480123,0.00256925353347242,0.00817153959288114
"SERAC1",61.8372821085961,0.883803863604574,0.293143972627011,3.01491398811431,0.0025705214058119,0.00817470149979475
