"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IL11",1608.32075304861,2.787992999541,0.523677155071952,8.32146150488104,8.68852368888188e-17,9.97333912937528e-14
"LOC105371497",1432.22480284155,3.3861249674358,0.5066559241829,8.29045872976432,1.12812532379768e-16,1.24314898181209e-13
"ADH1B",1275.80385760412,3.34762617695903,0.510050941634963,8.27294354875325,1.30691587464044e-16,1.38477790117191e-13
"LOC105373878",1330.28918720562,2.99811448761787,0.520677767324495,8.26307342205883,1.41968855055407e-16,1.448555551082e-13
"MBD3L1",531.516563504303,3.21539342045093,0.514320495951206,8.25838942129046,1.47651162034651e-16,1.45272923674736e-13
"LOC105372047",3229.29081929234,2.79533632965755,0.522150821320902,8.24938374890755,1.59213402228563e-16,1.47588809159157e-13
"UBXN6",584.304315163973,-2.53193408285934,0.308309177692883,-8.24825836455687,1.60719600521787e-16,1.47588809159157e-13
"FAM46C",3673.25095896237,-2.85879198016133,0.350562299835984,-8.22696097463654,1.92022985795546e-16,1.70646491473596e-13
"IGF2BP2",358.802850154128,-2.43850558907747,0.298797351601919,-8.19650342704271,2.47480230480339e-16,2.13057277171964e-13
"LINC00840",1402.10676826776,3.38785107061377,0.501607013677094,8.16204780490217,3.2939177650204e-16,2.74982243965294e-13
"MYMX",1195.20198445256,3.46811812226967,0.498885928892876,8.15213888650831,3.57543326768722e-16,2.89704738504456e-13
"LOC107984812",521.029549077191,3.0840426525105,0.516857452072514,8.05970953016889,7.6475951563379e-16,6.01953139891294e-13
"MKRN1",2454.43971955334,-2.47890051911081,0.310494463117887,-8.03601106474874,9.28103675556099e-16,7.10231337719305e-13
"ADCY3",510.890189838552,2.87823129391759,0.361089480786295,8.02154492918788,1.04423372810212e-15,7.77502566905007e-13
"LOC105373699",1985.23693429646,3.06589615300432,0.513669869604991,7.99777771484225,1.2668480655747e-15,9.18431509434669e-13
"STRADB",618.906356646494,-3.21003379747089,0.406951256683754,-7.97319488368999,1.54624054850376e-15,1.09224053514693e-12
"LOC105376775",2171.68087672162,3.03234407230584,0.51413538992147,7.9643962445338,1.66032424285675e-15,1.13790238797507e-12
"LOC105374220",1284.89507310463,3.2460467125018,0.506800540505458,7.96194982492715,1.69349152081664e-15,1.13790238797507e-12
"LINC01428",3627.73686010977,3.14647290928354,0.50548023065302,7.94615362545235,1.92391809620963e-15,1.26195284839236e-12
"LOC105374076",1046.55576261673,3.28737655712666,0.507852244825773,7.93022836387735,2.18743269438114e-15,1.40143216970944e-12
"TDRD9",171.81065262922,2.84743707829603,0.365039856823077,7.83323091601658,4.75489852374138e-15,2.9771068052398e-12
"LOC105373920",846.964969146696,3.22970770363008,0.510357393032642,7.80151515834054,6.11682578451906e-15,3.74472074528257e-12
"OR2W3",29.0272658961741,-3.52315037877941,0.457465738845905,-7.78307123842866,7.07847475271724e-15,4.23923697744799e-12
"ASCC2",648.997850472238,-2.14542840035014,0.27714093273548,-7.76499769699973,8.16467075531559e-15,4.78571307740828e-12
"PAGE2B",213.125042189793,-2.89064658263614,0.37881818136498,-7.72995595615796,1.07583799031653e-14,6.17463766567293e-12
"CRMP1",2922.75926789599,3.23544622962022,0.491171513190623,7.70806187773082,1.27742812565951e-14,7.18201376199875e-12
"LOC105370747",513.338398459892,2.85330736674724,0.520244781333054,7.69816994729012,1.38028718788683e-14,7.45630744368841e-12
"LOC105376709",513.42228808321,2.85327573186847,0.520244835701441,7.69816444772419,1.38034658110316e-14,7.45630744368841e-12
