"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC100996318",641.098643376419,0.629737535638895,0.409560234140413,1.68311664849742,0.0923525121789742,0.165245208568993
"LOC729683",22.3873970799741,-0.533332013844101,0.333112445446453,-1.68292970789381,0.0923886997630807,0.165300055021831
"TRAJ34",1.38425056199987,-1.32210571382241,0.74923041317616,-1.68288850396764,0.0923966774671948,0.165304425361395
"PIGR",1.27608373536006,1.37444294005936,0.788199165519071,1.68274653881594,0.092424168307261,0.165343703516015
"LOC105375080",0.722490529407868,1.80366592512138,0.984115318538086,1.68269630951801,0.0924338965320505,0.165351202152123
"NEURL1",19.8663400264946,3.21728297730659,0.360198995981874,1.68205213489441,0.0925587308012566,0.165564596033752
"GPR82",35.2803804526876,-0.615875937943261,0.426603729573573,-1.68197527388983,0.0925736346912499,0.165581337968149
"BTG3",92.0701123790576,0.494184498594737,0.299118204868578,1.68173234893506,0.0926207522202744,0.165655693200293
"IGKV1-33",60.6101962681932,-0.989056519986109,0.615965282448403,-1.68144644471878,0.0926762306366188,0.165735383243829
"FLT3LG",35.9778483962508,-0.604594037286299,0.352065638502178,-1.68144553517857,0.0926764071713357,0.165735383243829
"SHMT2",72.6286039549302,0.612111334572858,0.359780358852784,1.681171744952,0.0927295600092699,0.165820508333444
"DPH6-AS1",164.334046761134,0.561266382623596,0.309717575213791,1.68106574264396,0.0927501455598333,0.165847389363215
"GNB1",1733.62429997596,-0.269490381109049,0.159062631895945,-1.68085548477573,0.0927909882997314,0.165905181027262
"PIP5K1B",656.824487825089,0.335037043784157,0.270939867699047,-1.68084216641209,0.0927935758874733,0.165905181027262
"PHETA1",6.9980880943737,-0.717231517330916,0.453870954602125,-1.68063276227573,0.0928342680493203,0.165967346012983
"ASB10",1.2308153280833,2.19117461874243,0.949614196626503,1.68060604785586,0.0928394603212087,0.165967346012983
"PIK3CD-AS2",104.747919192002,0.837181274924091,0.49947072200074,1.68030134926898,0.0928986986860149,0.166063304977425
